VIN,trip_id,StartTrip,EndTrip,Trajectory,AltitudeTrajectory,start_latitude,start_longitude,start_altitude_m,end_latitude,end_longitude,end_altitude_m,duration_seconds,duration_minutes,distance_m,distance_km,straight_line_distance_m,average_speed_kmh,max_segment_speed_kmh,point_count,quality_status,quality_flags,trajectory_timestamp_method,fuel,hyb,model
VIN011,VIN011_20260213T190000Z_0005,2026-02-13T19:00:00+00:00,2026-02-13T19:12:00+00:00,"[[49.142,2.436],[49.1448,2.4376],[49.1476,2.4392],[49.1504,2.4408],[49.1532,2.4424],[49.156,2.444]]","[70.0,70.4,70.8,71.2,71.6,72.0]",49.142,2.436,70.0,49.156,2.444,72.0,720.0,12.0,1661.917,1.661917,1661.917,8.31,8.31,6,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN012,VIN012_20260213T070000Z_0001,2026-02-13T07:00:00+00:00,2026-02-13T07:08:00+00:00,"[[49.16,2.44],[49.1625,2.442],[49.165,2.444],[49.1675,2.446],[49.17,2.448]]","[70.0,70.5,71.0,71.5,72.0]",49.16,2.44,70.0,49.17,2.448,72.0,480.0,8.0,1254.9,1.2549,1254.9,9.412,9.412,5,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN012,VIN012_20260213T100000Z_0002,2026-02-13T10:00:00+00:00,2026-02-13T10:09:00+00:00,"[[49.163,2.444],[49.1658,2.4462],[49.1686,2.4484],[49.1714,2.4506],[49.1742,2.4528],[49.177,2.455]]","[70.0,70.4,70.8,71.2,71.6,72.0]",49.163,2.444,70.0,49.177,2.455,72.0,540.0,9.0,1750.13,1.75013,1750.13,11.668,11.668,6,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN012,VIN012_20260213T130000Z_0003,2026-02-13T13:00:00+00:00,2026-02-13T13:10:00+00:00,"[[49.166,2.448],[49.169,2.4503333],[49.172,2.4526667],[49.175,2.455],[49.178,2.4573333],[49.181,2.4596667],[49.184,2.462]]","[70.0,70.3,70.7,71.0,71.3,71.7,72.0]",49.166,2.448,70.0,49.184,2.462,72.0,600.0,10.0,2245.393,2.245393,2245.393,13.472,13.473,7,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN012,VIN012_20260213T160000Z_0004,2026-02-13T16:00:00+00:00,2026-02-13T16:11:00+00:00,"[[49.169,2.452],[49.1715,2.45625],[49.174,2.4605],[49.1765,2.46475],[49.179,2.469]]","[70.0,70.5,71.0,71.5,72.0]",49.169,2.452,70.0,49.179,2.469,72.0,660.0,11.0,1662.434,1.662434,1662.434,9.068,9.068,5,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN012,VIN012_20260213T190000Z_0005,2026-02-13T19:00:00+00:00,2026-02-13T19:12:00+00:00,"[[49.172,2.456],[49.1748,2.4576],[49.1776,2.4592],[49.1804,2.4608],[49.1832,2.4624],[49.186,2.464]]","[70.0,70.4,70.8,71.2,71.6,72.0]",49.172,2.456,70.0,49.186,2.464,72.0,720.0,12.0,1661.794,1.661794,1661.794,8.309,8.309,6,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN013,VIN013_20260213T070000Z_0001,2026-02-13T07:00:00+00:00,2026-02-13T07:08:00+00:00,"[[49.19,2.46],[49.1925,2.462],[49.195,2.464],[49.1975,2.466],[49.2,2.468]]","[70.0,70.5,71.0,71.5,72.0]",49.19,2.46,70.0,49.2,2.468,72.0,480.0,8.0,1254.736,1.254736,1254.736,9.411,9.411,5,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN013,VIN013_20260213T100000Z_0002,2026-02-13T10:00:00+00:00,2026-02-13T10:09:00+00:00,"[[49.193,2.464],[49.1958,2.4662],[49.1986,2.4684],[49.2014,2.4706],[49.2042,2.4728],[49.207,2.475]]","[70.0,70.4,70.8,71.2,71.6,72.0]",49.193,2.464,70.0,49.207,2.475,72.0,540.0,9.0,1749.908,1.749908,1749.908,11.666,11.666,6,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN013,VIN013_20260213T130000Z_0003,2026-02-13T13:00:00+00:00,2026-02-13T13:10:00+00:00,"[[49.196,2.468],[49.199,2.4703333],[49.202,2.4726667],[49.205,2.475],[49.208,2.4773333],[49.211,2.4796667],[49.214,2.482]]","[70.0,70.3,70.7,71.0,71.3,71.7,72.0]",49.196,2.468,70.0,49.214,2.482,72.0,600.0,10.0,2245.114,2.245114,2245.114,13.471,13.471,7,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN013,VIN013_20260213T160000Z_0004,2026-02-13T16:00:00+00:00,2026-02-13T16:11:00+00:00,"[[49.199,2.472],[49.2015,2.47625],[49.204,2.4805],[49.2065,2.48475],[49.209,2.489]]","[70.0,70.5,71.0,71.5,72.0]",49.199,2.472,70.0,49.209,2.489,72.0,660.0,11.0,1661.878,1.661878,1661.877,9.065,9.065,5,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN013,VIN013_20260213T190000Z_0005,2026-02-13T19:00:00+00:00,2026-02-13T19:12:00+00:00,"[[49.202,2.476],[49.2048,2.4776],[49.2076,2.4792],[49.2104,2.4808],[49.2132,2.4824],[49.216,2.484]]","[70.0,70.4,70.8,71.2,71.6,72.0]",49.202,2.476,70.0,49.216,2.484,72.0,720.0,12.0,1661.67,1.66167,1661.67,8.308,8.308,6,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
